Origin,Target,Last-Amount,Coefficient,New-Amount,Iteration
CHN_26,USA_26,-8947.41384,0.0069896447640403776,-62.53924429845841,0
USA_26,ROW_90T96,-62.53924429845841,2.037087609016093e-06,-0.00012739791963761995,1
USA_26,ROW_86T88,-62.53924429845841,1.7766961468805291e-06,-0.00011111323437389115,1
USA_26,ROW_85,-62.53924429845841,5.501124971239748e-06,-0.0003440361984927126,1
USA_26,ROW_84,-62.53924429845841,2.1534101238719954e-06,-0.0001346726418116043,1
USA_26,ROW_69T82,-62.53924429845841,0.00024602658113454624,-0.015386316461487885,1
USA_26,ROW_68,-62.53924429845841,2.5274072474769438e-06,-0.00015806213929165492,1
USA_26,ROW_64T66,-62.53924429845841,3.4495331998380496e-05,-0.0021573119950031474,1
USA_26,ROW_62T63,-62.53924429845841,2.1155857874658264e-05,-0.0013230713639667182,1
USA_26,ROW_61,-62.53924429845841,2.113827639398087e-06,-0.0001321971831451506,1
USA_26,ROW_58T60,-62.53924429845841,7.056610199982242e-06,-0.00044131506921568284,1
USA_26,ROW_49T53,-62.53924429845841,9.008736528561458e-05,-0.005633995745801511,1
USA_26,ROW_45T47,-62.53924429845841,0.00048328039728590626,-0.030223990830519326,1
USA_26,ROW_41T43,-62.53924429845841,3.393501661919851e-06,-0.00021222702946203017,1
USA_26,ROW_35T39,-62.53924429845841,2.1228428563868326e-06,-0.00013276098800281337,1
USA_26,ROW_31T33,-62.53924429845841,9.33286241411006e-05,-0.005836701625199294,1
USA_26,ROW_30,-62.53924429845841,8.33498396846956e-06,-0.0005212635986278521,1
USA_26,ROW_29,-62.53924429845841,1.3564177969161903e-05,-0.0008482934397211837,1
USA_26,ROW_28,-62.53924429845841,4.819901244840433e-05,-0.0030143298144551965,1
USA_26,ROW_27,-62.53924429845841,0.00011279448237042659,-0.007054081688482269,1
USA_26,ROW_26,-62.53924429845841,0.0015014018191672224,-0.09389653515904879,1
USA_26,ROW_25,-62.53924429845841,0.00010008206415783998,-0.0062590566602611425,1
USA_26,ROW_24,-62.53924429845841,0.0003422660574231791,-0.02140506058025839,1
USA_26,ROW_23,-62.53924429845841,5.937083198012824e-06,-0.0003713006965407967,1
USA_26,ROW_22,-62.53924429845841,2.510093229228245e-05,-0.0015697933367461157,1
USA_26,ROW_20T21,-62.53924429845841,0.0001494555739365266,-0.009346838650182751,1
USA_26,ROW_19,-62.53924429845841,4.8032144439811284e-06,-0.00030038940153001987,1
USA_26,ROW_17T18,-62.53924429845841,1.0763381705095257e-05,-0.0006731337579325101,1
USA_26,ROW_16,-62.53924429845841,1.6749831413631438e-06,-0.00010475217987350894,1
USA_26,ROW_13T15,-62.53924429845841,1.368171003895724e-05,-0.0008556438065470177,1
USA_26,ROW_10T12,-62.53924429845841,1.098866957184035e-05,-0.00068722309086836,1
USA_26,ROW_07T08,-62.53924429845841,2.9211265473167074e-06,-0.00018268504676935188,1
USA_26,Africa_69T82,-62.53924429845841,4.536586184405703e-05,-0.002837146716675595,1
USA_26,Africa_62T63,-62.53924429845841,7.632826494485372e-06,-0.00047735120082636654,1
USA_26,Africa_49T53,-62.53924429845841,2.462488283905997e-05,-0.0015400215636928876,1
USA_26,Africa_45T47,-62.53924429845841,0.00012869185090929935,-0.00804829110323746,1
USA_26,Africa_31T33,-62.53924429845841,1.625178938720425e-05,-0.0010163746267734604,1
USA_26,Africa_29,-62.53924429845841,1.6290945453342098e-06,-0.00010188234175594217,1
USA_26,Africa_28,-62.53924429845841,7.390561805070775e-06,-0.00046220015023017694,1
USA_26,Africa_27,-62.53924429845841,3.395012116259603e-05,-0.002123214921349856,1
USA_26,Africa_26,-62.53924429845841,0.0008757429634287289,-0.0547683031325252,1
USA_26,Africa_25,-62.53924429845841,7.053935142482061e-05,-0.004411477731411666,1
USA_26,Africa_24,-62.53924429845841,7.462460168368021e-05,-0.004666966195370827,1
USA_26,Africa_23,-62.53924429845841,4.883411739027399e-06,-0.0003054048797569941,1
USA_26,Africa_22,-62.53924429845841,1.0336977079572794e-05,-0.0006464667348869681,1
USA_26,Africa_20T21,-62.53924429845841,1.9367761249303028e-05,-0.001211245152284378,1
USA_26,Africa_17T18,-62.53924429845841,1.877451824697175e-06,-0.00011741441832332314,1
USA_26,Africa_13T15,-62.53924429845841,3.057557956033816e-05,-0.0019121736396909398,1
USA_26,Asia_90T96,-62.53924429845841,5.459979611000959e-06,-0.00034146299875699085,1
USA_26,Asia_86T88,-62.53924429845841,8.544271543406428e-06,-0.0005343522854054609,1
USA_26,Asia_85,-62.53924429845841,2.0327533895182506e-05,-0.0012712686082560125,1
USA_26,Asia_84,-62.53924429845841,5.783962496804013e-06,-0.00036172464360074763,1
USA_26,Asia_69T82,-62.53924429845841,0.0005327762644890261,-0.03331942496129929,1
USA_26,Asia_68,-62.53924429845841,3.857813370986655e-06,-0.00024126473286599376,1
USA_26,Asia_64T66,-62.53924429845841,1.8781290060112504e-05,-0.0011745676873095845,1
USA_26,Asia_62T63,-62.53924429845841,8.396291008944e-05,-0.005250976946092986,1
USA_26,Asia_61,-62.53924429845841,1.1669559871090377e-05,-0.0007298054556336079,1
USA_26,Asia_58T60,-62.53924429845841,9.356339976593798e-06,-0.0005851384315356321,1
USA_26,Asia_55T56,-62.53924429845841,1.8696710658441628e-06,-0.00011692781554458721,1
USA_26,Asia_49T53,-62.53924429845841,0.00015608493612098798,-0.009761433951379742,1
USA_26,Asia_45T47,-62.53924429845841,0.0006759960705366001,-0.04227628340008636,1
USA_26,Asia_41T43,-62.53924429845841,1.051309123668161e-05,-0.0006574807811828134,1
USA_26,Asia_35T39,-62.53924429845841,1.250778930234278e-05,-0.0007822276908128597,1
USA_26,Asia_31T33,-62.53924429845841,7.458531746256981e-05,-0.004664509389869729,1
USA_26,Asia_30,-62.53924429845841,2.3809380119887713e-05,-0.0014890206399125166,1
USA_26,Asia_29,-62.53924429845841,0.000101547634089807,-0.006350712296272903,1
USA_26,Asia_28,-62.53924429845841,0.00021390336947980717,-0.013377355080161073,1
USA_26,Asia_27,-62.53924429845841,0.00034502703213208733,-0.021577729852080667,1
USA_26,Asia_26,-62.53924429845841,0.0021468765357310128,-0.13426403614670987,1
USA_26,Asia_25,-62.53924429845841,0.00033995340536094125,-0.021260429067960766,1
USA_26,Asia_24,-62.53924429845841,0.0005543378251971075,-0.034667868673878034,1
USA_26,Asia_23,-62.53924429845841,2.365567387193784e-05,-0.00147940796732178,1
USA_26,Asia_22,-62.53924429845841,5.814358251237164e-05,-0.003636255711128784,1
USA_26,Asia_20T21,-62.53924429845841,0.000382012350055071,-0.023890763685122298,1
USA_26,Asia_19,-62.53924429845841,1.3505881072674841e-05,-0.0008446475958699374,1
USA_26,Asia_17T18,-62.53924429845841,2.4281087437625333e-05,-0.0015185208590938802,1
USA_26,Asia_16,-62.53924429845841,4.3810476572044785e-06,-0.0002739874097170997,1
USA_26,Asia_13T15,-62.53924429845841,1.8615037395453434e-05,-0.0011641703712992012,1
USA_26,Asia_10T12,-62.53924429845841,2.2242534402189e-05,-0.0013910312927953633,1
USA_26,Asia_07T08,-62.53924429845841,2.56857851649181e-06,-0.0001606369593426532,1
USA_26,LAM_69T82,-62.53924429845841,4.340189202266243e-06,-0.00027143215282205986,1
USA_26,LAM_49T53,-62.53924429845841,2.977926022618098e-06,-0.0001862372430312498,1
USA_26,LAM_45T47,-62.53924429845841,9.92693782645377e-06,-0.0006208231898641999,1
USA_26,LAM_28,-62.53924429845841,4.705629970950369e-06,-0.00029428654233141285,1
USA_26,LAM_27,-62.53924429845841,5.176427152347325e-06,-0.00032372984227382277,1
USA_26,LAM_26,-62.53924429845841,2.3083294229232594e-05,-0.0014436117770151723,1
USA_26,LAM_25,-62.53924429845841,3.449788401807519e-06,-0.00021574715963862883,1
USA_26,LAM_24,-62.53924429845841,3.2166498818510894e-05,-0.0020116685278369264,1
USA_26,LAM_20T21,-62.53924429845841,1.2980296688756827e-05,-0.000811777945684634,1
USA_26,EU_84,-62.53924429845841,2.834746879538653e-06,-0.00017728292762376045,1
USA_26,EU_69T82,-62.53924429845841,5.918943061320411e-05,-0.0037016622610058247,1
USA_26,EU_68,-62.53924429845841,1.9861871062347117e-06,-0.0001242146406592608,1
USA_26,EU_62T63,-62.53924429845841,5.69978757450154e-06,-0.0003564604075710695,1
USA_26,EU_49T53,-62.53924429845841,2.8000168032118082e-05,-0.0017511093489585182,1
USA_26,EU_45T47,-62.53924429845841,4.8611751985160596e-05,-0.003040142233176029,1
USA_26,EU_31T33,-62.53924429845841,5.467906706654077e-06,-0.00034195875332861846,1
USA_26,EU_29,-62.53924429845841,1.6757916800143994e-06,-0.00010480274526974456,1
USA_26,EU_28,-62.53924429845841,8.65434712100759e-06,-0.0005412363288443539,1
USA_26,EU_27,-62.53924429845841,1.4751271953133696e-05,-0.0009225334003900259,1
USA_26,EU_26,-62.53924429845841,3.079319390294257e-05,-0.0019257830762259255,1
USA_26,EU_25,-62.53924429845841,2.5821156172694577e-05,-0.0016148355939527934,1
USA_26,EU_24,-62.53924429845841,0.00031008300387345365,-0.019392356732041743,1
USA_26,EU_23,-62.53924429845841,5.201300076233226e-06,-0.00032528537613714,1
USA_26,EU_22,-62.53924429845841,9.510977969034628e-06,-0.0005948093747227123,1
USA_26,EU_20T21,-62.53924429845841,3.0286586487129787e-05,-0.0018941002312849989,1
USA_26,EU_19,-62.53924429845841,4.964848081644e-06,-0.00031049784708266667,1
USA_26,EU_17T18,-62.53924429845841,7.695665311266582e-06,-0.00048128109294047277,1
USA_26,EU_16,-62.53924429845841,2.542181404094323e-06,-0.00015898610388165286,1
USA_26,EU_13T15,-62.53924429845841,2.4493770083561327e-06,-0.00015318218710461137,1
USA_26,EU_10T12,-62.53924429845841,2.5262796643552966e-06,-0.0001579916210953434,1
USA_26,EU_07T08,-62.53924429845841,0.00020494012978074512,-0.01281680084291579,1
USA_26,THA_69T82,-62.53924429845841,1.602815606151581e-05,-0.0010023887675849543,1
USA_26,THA_49T53,-62.53924429845841,1.2774984808682648e-05,-0.0007989378958592991,1
USA_26,THA_45T47,-62.53924429845841,0.0002095650413090224,-0.013106039314841481,1
USA_26,THA_31T33,-62.53924429845841,4.269508758861874e-06,-0.00026701185130487067,1
USA_26,THA_28,-62.53924429845841,3.4030944991605027e-06,-0.00021282695825373865,1
USA_26,THA_27,-62.53924429845841,2.7311192658794124e-05,-0.0017080213497705895,1
USA_26,THA_26,-62.53924429845841,0.001236210601356773,-0.0773116768025954,1
USA_26,THA_25,-62.53924429845841,3.320178783283518e-05,-0.002076414720423263,1
USA_26,THA_24,-62.53924429845841,1.016294175779915e-05,-0.0006355826973820054,1
USA_26,THA_22,-62.53924429845841,2.1523900834379002e-05,-0.0013460884925370212,1
